,muonID1,muonID2,x1,x1_normed,y1,y1_normed,z1,z1_normed,p1,t1_normed,t1,x2,x2_normed,y2,y2_normed,z2,z2_normed,t2_normed,t2,label
10351,3,3,-20.0776,0.459261846,126.765,0.716970867,56.06,0.637996413,0.01313829935,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
8412,3,3,-1.94E-14,4.94E-01,120.935,0.706739207,58.15,0.643351268,0.01258808945,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
13581,3,3,18.0564,0.526187083,114.004,0.69457529,59.86,0.647732514,0.01219734617,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
14227,3,3,34.3766,0.554829063,105.8,0.680177255,61.57,0.652113759,0.01192744753,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
5828,3,3,49.2966,0.581013689,96.7499,0.664294314,63.09,0.656008199,0.01178075285,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
7766,3,3,63.0429,0.60513847,86.7711,0.646781502,64.8,0.660389444,0.01175518752,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
11643,3,3,73.6911,0.623826079,73.6911,0.623826079,66.7,0.665257494,0.01160714409,0.489583333,10660,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.489351852,10655,1
5186,3,3,-274.045,0.013548614,-3.36E-14,4.94E-01,26.23,0.561568025,0.02583739371,0.489351852,10655,-222.98,0.103167778,72.4506,0.621649,35.92,0.586395081,0.489351852,10655,1
9708,3,3,-251.461,0.053183573,39.8274,0.564395226,31.17,0.574224955,0.02407287122,0.489351852,10655,-222.98,0.103167778,72.4506,0.621649,35.92,0.586395081,0.489351852,10655,1
7124,3,3,-191.21,0.158924184,97.4264,0.665481573,40.1,0.597104791,0.02048938532,0.489351852,10655,-222.98,0.103167778,72.4506,0.621649,35.92,0.586395081,0.489351852,10655,1
